Clone_ID,Gene,Ensembl_Gene,UniGene,EntrezGene,GenBank Acc.,Ensembl* Chr,Start (bp),End (bp),Strand,Clone_ID
IMAGE:470914,,,Hs.660507,0,AA032084,,,,,IMAGE:470914
IMAGE:950843,,,Hs.112582,0,AA608689,chr21,39478634,39479218,-,IMAGE:950843
IMAGE:37234,MAP4K2,ENSG00000168067,Hs.534341,5871,R35283,11,64313185,64327289,-1,IMAGE:37234
IMAGE:767801,ZC3HAV1,ENSG00000105939,Hs.133512,56829,AA418768,7,138378808,138445006,-1,IMAGE:767801
IMAGE:44154,,,Hs.657173,0,BX095741,,,,,IMAGE:44154
IMAGE:363087,NDFIP2,ENSG00000102471,Hs.525093,54602,AA019338,13,78953340,79028211,1,IMAGE:363087
IMAGE:283352,SLC35F5,ENSG00000115084,Hs.632527,80255,N51446,2,114188401,114230870,-1,IMAGE:283352
IMAGE:1475659,PRSS8,ENSG00000052344,Hs.75799,5652,AA872020,16,31050255,31054320,-1,IMAGE:1475659
IMAGE:120528,CRTC1,ENSG00000105662,Hs.371096,23373,T95404,19,18655425,18749757,1,IMAGE:120528
IMAGE:824547,CIITA,,Hs.701991,4261,AA490920,,,,,IMAGE:824547
IMAGE:363377,GTF2IRD1,ENSG00000006704|ENSG00000100911,Hs.647056,9569,AA019591,14,23682449,23686270,-1,IMAGE:363377
IMAGE:115307,,,Hs.16304,0,T87028,chr12,9381216,9381435,-,IMAGE:115307
IMAGE:196837,,, ,, ,,,,,IMAGE:196837
IMAGE:142851,HGSNAT,ENSG00000165102,Hs.600384,138050,R71531,8,43114803,43176122,1,IMAGE:142851
IMAGE:292958,,, ,, ,,,,,IMAGE:292958
IMAGE:345416,LOC646590,ENSG00000212503,Hs.655789,646590,W76022,14,100434010,100434085,1,IMAGE:345416
IMAGE:205185,THBD,ENSG00000178726,Hs.2030,7056,H60674,20,22974270,22978378,-1,IMAGE:205185
IMAGE:282500,PLXNB3,ENSG00000198753,Hs.632833,5365,N49853,X,152682905,152697989,1,IMAGE:282500
IMAGE:246239,MEG8,,Hs.648432,79104,N74724,,,,,IMAGE:246239
IMAGE:586731,NPTN,ENSG00000156642,Hs.187866,27020,AA130752,15,71639410,71712806,-1,IMAGE:586731
IMAGE:73241,,,Hs.530359,0,T56007,chrX,103230553,103288364,-,IMAGE:73241
IMAGE:841226,IVNS1ABP,ENSG00000116679,Hs.497183,10625,AA487115,1,183532147,183553091,-1,IMAGE:841226
IMAGE:588550,,,Hs.572086,0,AA143343,chr11,36461898,36465571,-,IMAGE:588550
IMAGE:343381,,,Hs.597651,0,W67193,chr2,69421895,69422347,-,IMAGE:343381
IMAGE:795349,,,Hs.524340,0,AA453362,chr12,37772972,37775821,-,IMAGE:795349
IMAGE:365085,TRPS1,ENSG00000104447,Hs.657018,7227,AA024603,8,116489900,116750429,-1,IMAGE:365085
IMAGE:743415,,,Hs.551127,0,BX109551,chr8,32352618,32353061,+,IMAGE:743415
IMAGE:193990,ABCB10,ENSG00000135776,Hs.17614,23456,BX106160,1,227718953,227761065,-1,IMAGE:193990
IMAGE:767823,PALMD,,Hs.483993,54873,AA418782,chr1,99921409,99932524,+,IMAGE:767823
IMAGE:647816,LMBR1,ENSG00000105983,Hs.209989,64327,AA205320,7,156166332,156378663,-1,IMAGE:647816
IMAGE:363124,LAMB1,ENSG00000091136,Hs.650585,3912,AA019209,7,107351484,107431040,-1,IMAGE:363124
IMAGE:283723,RSRC2,ENSG00000111011,Hs.432996,65117,N50738,12,121555226,121577499,-1,IMAGE:283723
IMAGE:1475595,ALPL,ENSG00000162551,Hs.75431,249,AA873885,1,21708445,21777492,1,IMAGE:1475595
IMAGE:742898,,,Hs.355581,0,AA405809,chr9,128639337,128640310,+,IMAGE:742898
IMAGE:724892,PTK2,ENSG00000169398,Hs.395482,5747,AA404694,8,141737683,142080514,-1,IMAGE:724892
IMAGE:232908,PRELID1,,Hs.279529,27166,H75575,chr5,176663393,176665591,+,IMAGE:232908
IMAGE:127185,,, ,, ,,,,,IMAGE:127185
IMAGE:196849,ZC3H14,ENSG00000100722,Hs.325846,79882,R92873,14,88099067,88158368,1,IMAGE:196849
IMAGE:141931,MAGI1,ENSG00000151276,Hs.651939,9223,BX089296,3,65314946,65999023,-1,IMAGE:141931
IMAGE:488886,FBXW2,ENSG00000119402,Hs.494985,26190,AA046066,9,122559075,122595561,-1,IMAGE:488886
IMAGE:501981,COL17A1,ENSG00000065618|ENSG00000100263,Hs.117938,1308,AA128560,22,27985844,27993914,-1,IMAGE:501981
IMAGE:241530,EPHA2,ENSG00000142627,Hs.171596,1969,BX093226,1,16323420,16355151,-1,IMAGE:241530
IMAGE:142579,TCL6,ENSG00000187621,Hs.510368,27004,BX094053,14,95186588,95228718,1,IMAGE:142579
IMAGE:346292,UBE4B,ENSG00000130939,Hs.632370,10277,W74337,1,10015630,10163876,1,IMAGE:346292
IMAGE:431526,C1orf21,ENSG00000116667,Hs.571795,81563,AA676234,1,182622773,182864778,1,IMAGE:431526
IMAGE:72984,HMGN3,ENSG00000118418,Hs.77558,9324,T57241,6,79967685,80001174,-1,IMAGE:72984
IMAGE:810801,AGRN,ENSG00000188157,Hs.273330,375790,AA458878,1,945366,981355,1,IMAGE:810801
IMAGE:795395,JOSD3,ENSG00000166012,Hs.355750,79101,AA453385,11,93103017,93114308,-1,IMAGE:795395
IMAGE:343385,,,Hs.57870,0,BX099811,chr3,195028150,195028947,-,IMAGE:343385
IMAGE:795148,CCDC100,ENSG00000168944,Hs.483209,153241,AA453949,5,122708478,122787151,-1,IMAGE:795148
IMAGE:210952,,, ,, ,,,,,IMAGE:210952
IMAGE:743439,,,Hs.545780,0,AA609363,chr9,46249267,46249723,+,IMAGE:743439
IMAGE:124597,,, ,, ,,,,,IMAGE:124597
IMAGE:768445,FLJ31818,ENSG00000164603,Hs.489734,154743,AA495938,7,112246439,112367168,-1,IMAGE:768445
IMAGE:647985,TTTY15,,Hs.433656,64595,AA207105,chrY,13283691,13313547,+,IMAGE:647985
IMAGE:364100,MIB2,ENSG00000197530,Hs.135805,142678,AA021133,1,1540736,1555853,1,IMAGE:364100
IMAGE:283376,CCDC112,ENSG00000164221,Hs.436121,153733,BX114518,5,114630951,114660340,-1,IMAGE:283376
IMAGE:1475746,ZNF124,,Hs.655205,7678,BX107933,,,,,IMAGE:1475746
IMAGE:796129,,,Hs.656981,0,BX109938,,,,,IMAGE:796129
IMAGE:785595,SULT1E1,ENSG00000109193,Hs.479898,6783,AA448993,4,70741520,70760459,-1,IMAGE:785595
IMAGE:115447,C20orf4,ENSG00000104907|ENSG00000131043,Hs.11314,25980,T87444,20,34287795,34322254,1,IMAGE:115447
IMAGE:120318,,,Hs.690007,0,BX102386,,,,,IMAGE:120318
IMAGE:243652,,,Hs.658929,0,BX110074,,,,,IMAGE:243652
IMAGE:206867,,,Hs.687312,0,BX100643,,,,,IMAGE:206867
IMAGE:504308,CEP55,ENSG00000138180,Hs.14559,55165,AA131909,10,95246379,95278837,1,IMAGE:504308
IMAGE:263010,HNRPA3,ENSG00000170144,Hs.516539,220988,N24513,2,177785668,177796931,1,IMAGE:263010
IMAGE:345559,RBM6,,Hs.439480,10180,W76177,chr3,50101399,50131394,+,IMAGE:345559
IMAGE:302286,WNT2,ENSG00000105989,Hs.567356,7472,W17194,7,116704518,116750579,-1,IMAGE:302286
IMAGE:239889,ANKH,ENSG00000154122,Hs.156727,56172,H81907,5,14762019,14924876,-1,IMAGE:239889
IMAGE:79935,ATP8A1,ENSG00000105193,Hs.435052,10396,T61475,19,44615692,44618458,-1,IMAGE:79935
IMAGE:34597,THOC2,ENSG00000125676,Hs.592243,57187,R20320,X,122562094,122694587,-1,IMAGE:34597
IMAGE:611324,FOXO3,ENSG00000118689,Hs.220950,2309,AA176842,6,108987719,109108647,1,IMAGE:611324
IMAGE:610883,PCDHA6,ENSG00000204964,Hs.199343,56142,AA172362,5,140187834,140372113,1,IMAGE:610883
IMAGE:838296,CNPY4,ENSG00000166997,Hs.632293,245812,AA457490,7,99555197,99561063,1,IMAGE:838296
IMAGE:795170,EFCAB6,ENSG00000186976,Hs.658996,64800,BX102338,22,42255987,42539451,-1,IMAGE:795170
IMAGE:306891,,,Hs.430300,0,W24278,chr11,130241361,130245352,-,IMAGE:306891
IMAGE:743155,,,Hs.407172,0,BX107665,chr20,12878985,12880274,+,IMAGE:743155
IMAGE:49665,EDNRB,ENSG00000167670,Hs.82002,1910,H28840,19,4353660,4394394,1,IMAGE:49665
IMAGE:768452,TMEM50B,ENSG00000142188,Hs.433668,757,AA495922,21,33743321,33774151,-1,IMAGE:768452
IMAGE:648025,,, ,, ,,,,,IMAGE:648025
IMAGE:364022,PHYHIPL,,Hs.499704,84457,AA021586,chr10,60666338,60679174,+,IMAGE:364022
IMAGE:283413,LRDD,ENSG00000177595,Hs.592290,55367,N55392,11,789180,795245,-1,IMAGE:283413
IMAGE:1476065,STMN1,ENSG00000117632,Hs.209983,3925,AA873060,1,26099196,26105955,-1,IMAGE:1476065
IMAGE:73527,,, ,, ,,,,,IMAGE:73527
IMAGE:770992,EZH2,ENSG00000106462,Hs.444082,2146,AA428252,7,148135408,148212347,-1,IMAGE:770992
IMAGE:359713,CBR4,ENSG00000145439,Hs.659311,84869,AA011185,4,170145319,170167997,-1,IMAGE:359713
IMAGE:126234,,, ,, ,,,,,IMAGE:126234
IMAGE:196636,NIP30,ENSG00000172775,Hs.396740,80011,R93007,16,55744729,55777452,-1,IMAGE:196636
IMAGE:305227,ABI2,ENSG00000138443,Hs.471156,10152,N94992,2,203901248,204005134,1,IMAGE:305227
IMAGE:320355,PLA2R1,ENSG00000153246,Hs.410477,22925,W31693,2,160506258,160627367,-1,IMAGE:320355
IMAGE:269224,,,Hs.439682,0,N24715,chr12,120109721,120111632,+,IMAGE:269224
IMAGE:47681,SFRS10,ENSG00000136527,Hs.533122,6434,H11720,3,187110586,187138495,-1,IMAGE:47681
IMAGE:505005,TERF1,ENSG00000147601,Hs.442707,7013,AA151295,8,74083661,74121378,1,IMAGE:505005
IMAGE:293013,,,Hs.421247,0,N92679,chr1,16036491,16036970,-,IMAGE:293013
IMAGE:428103,CD1C,ENSG00000158481,Hs.132448,911,BX116983,1,156526187,156531188,1,IMAGE:428103
IMAGE:47793,,,Hs.587442,0,BX108557,chr8,133202288,133209501,-,IMAGE:47793
IMAGE:510790,YARS,ENSG00000134684,Hs.213264,8565,AA102053,1,33013428,33056341,-1,IMAGE:510790
IMAGE:308223,TMEM58,ENSG00000198892,Hs.632471,149345,BX093749,1,200124440,200128049,1,IMAGE:308223
IMAGE:342740,DSG3,ENSG00000134757,Hs.1925,1830,W68629,18,27281730,27312661,1,IMAGE:342740
IMAGE:795425,,,Hs.143077,0,BX108598,chr10,33865231,33865918,+,IMAGE:795425
IMAGE:1031017,CEP76,ENSG00000101624,Hs.236940,79959,AA609857,18,12662632,12692703,-1,IMAGE:1031017
IMAGE:1030635,,,Hs.112586,0,BX099182,chr2,52803327,53496180,+,IMAGE:1030635
IMAGE:26418,EDG1,ENSG00000170989,Hs.154210,1901,R13546,1,101475043,101479657,1,IMAGE:26418
IMAGE:768466,RRM2B,ENSG00000048392,Hs.512592,50484,AA425014,8,103285908,103320522,-1,IMAGE:768466
IMAGE:648056,CDKN2AIPNL,ENSG00000145835,Hs.156506,91368,AA206865,5,133756202,133775488,-1,IMAGE:648056
IMAGE:364077,ARS2,ENSG00000087087,Hs.111801,51593,AA021127,7,100310671,100324221,1,IMAGE:364077
IMAGE:283458,,,Hs.594647,0,N50642,chr17,32949126,32951113,-,IMAGE:283458
IMAGE:267420,ERBB3,ENSG00000065361,Hs.118681,2065,N33840,12,54760159,54783395,1,IMAGE:267420
IMAGE:727147,SERPINB3,ENSG00000206073,Hs.227948,6317,AA292860,18,59473412,59480119,-1,IMAGE:727147
IMAGE:841691,METAP2,ENSG00000111142,Hs.591005,10988,AA487589,12,94391953,94433746,1,IMAGE:841691
IMAGE:754490,SLC25A16,ENSG00000122912,Hs.180408,8034,AA411554,10,69912104,69957613,-1,IMAGE:754490
IMAGE:127173,,, ,, ,,,,,IMAGE:127173
IMAGE:295600,,, ,, ,,,,,IMAGE:295600
IMAGE:142586,MCTS1,,Hs.102696,28985,R70837,chrX,119578745,119626239,+,IMAGE:142586
IMAGE:782434,RPL23AP7,,Hs.595056,118433,AA431426,chr17,813739,816461,-,IMAGE:782434
IMAGE:417566,SNF1LK2,ENSG00000170145,Hs.269128,23235,W89110,11,110978380,111102840,1,IMAGE:417566
IMAGE:141562,SLC16A4,ENSG00000168679,Hs.351306,9122,BX089176,1,110707028,110735171,-1,IMAGE:141562
IMAGE:358083,KIAA0226,ENSG00000145016,Hs.478868,9711,BX110065,3,198883253,198960656,-1,IMAGE:358083
IMAGE:271899,CDC42BPA,ENSG00000143776,Hs.35433,8476,N35241,1,225244190,225572449,-1,IMAGE:271899
IMAGE:455121,CEBPG,ENSG00000153879,Hs.429666,1054,AA676804,19,38556449,38565431,1,IMAGE:455121
IMAGE:39815,SCN3B,ENSG00000166257,Hs.4865,55800,R53930,11,123005107,123030525,-1,IMAGE:39815
IMAGE:41853,TK2,ENSG00000166548,Hs.512619,7084,R52756,16,65100853,65141816,-1,IMAGE:41853
IMAGE:950989,ZNF598,ENSG00000167962,Hs.343828,90850,AA620404,16,1987769,1999745,-1,IMAGE:950989
IMAGE:343930,GFRA3,ENSG00000146013|ENSG00000167657,Hs.58042,2676,BX100121,19,3909452,3920826,-1,IMAGE:343930
IMAGE:797042,KIAA1641,ENSG00000196912,Hs.541894,57730,BX090308,2,97465659,97572759,-1,IMAGE:797042
IMAGE:1031640,,,Hs.501423,0,AA609511,chr19,3247762,3254001,+,IMAGE:1031640
IMAGE:1030639,,,Hs.600548,0,AA608771,chr8,133715495,133715960,+,IMAGE:1030639
IMAGE:741429,MAPK4,ENSG00000141639,Hs.433728,5596,AA400982,18,46340482,46512194,1,IMAGE:741429
IMAGE:768495,GAB3,ENSG00000160219,Hs.496982,139716,AA495984,X,153556725,153632542,-1,IMAGE:768495
IMAGE:548465,KIAA1715,ENSG00000144320,Hs.209561,80856,AA082665,2,176496896,176584128,-1,IMAGE:548465
IMAGE:364108,RERE,ENSG00000142599,Hs.463041,473,AA021286,1,8335053,8800286,-1,IMAGE:364108
IMAGE:286378,ZNF135,ENSG00000176293,Hs.85863,7694,N67262,19,63262422,63272583,1,IMAGE:286378
IMAGE:269681,ZBTB24,ENSG00000017797,Hs.409876,9841,N36212,18,9465007,9528112,1,IMAGE:269681
IMAGE:811927,PTGS1,ENSG00000095303,Hs.201978,5742,AA454668,9,124173050,124197802,1,IMAGE:811927
IMAGE:686164,DGKZ,ENSG00000149091,Hs.502461,8525,AA262205,11,46311315,46358680,1,IMAGE:686164
IMAGE:214077,UBAP1,ENSG00000165006,Hs.268963,51271,BX095073,9,34169003,34242520,1,IMAGE:214077
IMAGE:121239,UBXD5,ENSG00000158062,Hs.145061,91544,BX092920,1,26480406,26517441,-1,IMAGE:121239
IMAGE:201519,,, ,, ,,,,,IMAGE:201519
IMAGE:813410,POLR2K,ENSG00000147669|ENSG00000159128,Hs.351475,5440,AA458646,21,33697072,33731698,1,IMAGE:813410
IMAGE:428719,,ENSG00000108448,Hs.593689,0,AA004637,17,15418138,15528338,-1,IMAGE:428719
IMAGE:810957,LOC440456,ENSG00000159266,Hs.646585,440456,AA459624,17,60209325,60263734,-1,IMAGE:810957
IMAGE:242037,SMOX,ENSG00000088826,Hs.433337,54498,H93832,20,4077450,4116394,1,IMAGE:242037
IMAGE:134206,,,Hs.443602,0,BX093900,chr6,36686495,36687217,+,IMAGE:134206
IMAGE:435858,RNASE6,ENSG00000169413,Hs.23262,6039,AA701545,14,20319050,20320464,1,IMAGE:435858
IMAGE:586706,CEACAM5,ENSG00000105388,Hs.466814,1048,AA130547,19,46904370,46926277,1,IMAGE:586706
IMAGE:50265,RGS7BP,ENSG00000186479,Hs.657133,401190,H17568,5,63838208,63943875,1,IMAGE:50265
IMAGE:773375,DKFZP564J0863,ENSG00000184743,Hs.356719,25923,AA425723,11,63153013,63195763,-1,IMAGE:773375
IMAGE:564771,C10orf18,,Hs.699500,54906,AA129415,,,,,IMAGE:564771
IMAGE:415408,AGRN,ENSG00000188157,Hs.273330,375790,CR736827,1,945366,981355,1,IMAGE:415408
IMAGE:277508,ASB13,ENSG00000196372,Hs.445899,79754,N48748,10,5714923,5748532,-1,IMAGE:277508
IMAGE:1031592,KIF9,ENSG00000088727,Hs.373947,64147,BX107333,3,47244890,47299092,-1,IMAGE:1031592
IMAGE:1030613,,, ,, ,,,,,IMAGE:1030613
IMAGE:813678,SLC1A3,ENSG00000079215,Hs.481918,6507,AA453823,5,36642446,36724191,1,IMAGE:813678
IMAGE:768508,DPPA4,ENSG00000121570,Hs.317659,55211,AA495991,3,110527893,110539083,-1,IMAGE:768508
IMAGE:567055,ARMCX4,,Hs.399873,158947,AA131315,chrX,100559930,100675102,+,IMAGE:567055
IMAGE:756599,WTIP,ENSG00000142279,Hs.585010,126374,AA444071,19,39665173,39683914,1,IMAGE:756599
IMAGE:246430,UGT2B4,ENSG00000156096,Hs.285887,7363,BX100069,4,70380474,70396212,-1,IMAGE:246430
IMAGE:292042,DAXX,,Hs.336916,1616,BX100995,chr6_,4472598,4476120,-,IMAGE:292042
IMAGE:788109,ATR,ENSG00000175054,Hs.271791,545,AA453176,3,143650773,143780341,-1,IMAGE:788109
IMAGE:705110,CASP9,ENSG00000132906,Hs.329502,842,AA281152,1,15687322,15723527,-1,IMAGE:705110
IMAGE:202168,,, ,, ,,,,,IMAGE:202168
IMAGE:121355,,,Hs.687600,0,BX116691,,,,,IMAGE:121355
IMAGE:200418,IFT122,ENSG00000163913,Hs.655284,55764,BX104960,3,130641658,130721880,1,IMAGE:200418
IMAGE:208210,,, ,, ,,,,,IMAGE:208210
IMAGE:795726,,, ,, ,,,,,IMAGE:795726
IMAGE:782452,NMNAT2,ENSG00000157064,Hs.497123,23057,AA431837,1,181484001,181654360,-1,IMAGE:782452
IMAGE:380797,RBM3,,Hs.301404,5935,AA054287,chrX,48317869,48321619,+,IMAGE:380797
IMAGE:154769,H6PD,ENSG00000095261,Hs.463511,9563,R55630,9,122617595,122645027,-1,IMAGE:154769
IMAGE:744800,PTPRU,ENSG00000060656,Hs.19718,10076,AA644448,1,29435634,29525900,1,IMAGE:744800
IMAGE:854760,PRKAR1A,ENSG00000108946,Hs.280342,5573,AA630507,17,64019705,64040503,1,IMAGE:854760
IMAGE:49204,GDAP1,ENSG00000104381,Hs.168950,54332,H15696,8,75425173,75441888,1,IMAGE:49204
IMAGE:277189,JMJD1A,ENSG00000115548,Hs.557425,55818,CR739313,2,86521954,86573350,1,IMAGE:277189
IMAGE:594988,GZF1,ENSG00000125812,Hs.699339,64412,AA173862,20,23290819,23309310,1,IMAGE:594988
IMAGE:347498,LOC728449,ENSG00000215033,Hs.463110,728449,BX112109,10,47216968,47240877,1,IMAGE:347498
IMAGE:950707,,, ,, ,,,,,IMAGE:950707
IMAGE:1031903,CAPRIN1,ENSG00000135387|ENSG00000151834,Hs.471818,4076,AA609731,4,45946341,46086561,-1,IMAGE:1031903
IMAGE:1048671,,,Hs.112603,0,BX111592,chrX,152314290,152314832,-,IMAGE:1048671
IMAGE:241412,ELF1,,Hs.135646,1997,H81219,chr13,40404168,40454378,-,IMAGE:241412
IMAGE:768570,FAM63A,ENSG00000143409,Hs.3346,55793,AA425022,1,149234173,149245957,-1,IMAGE:768570
IMAGE:132452,,,Hs.594386,0,R26681,chr2,25813912,25814424,+,IMAGE:132452
IMAGE:756731,MAP3K3,ENSG00000198909,Hs.29282,4215,AA443920,17,59053533,59127399,1,IMAGE:756731
IMAGE:611581,TNNI1,ENSG00000159173,Hs.320890,7135,AA182429,1,199639519,199665617,-1,IMAGE:611581
IMAGE:291216,CETN2,ENSG00000147400,Hs.82794,1069,W00474,X,151746529,151749957,-1,IMAGE:291216
IMAGE:812955,KISS1,,Hs.95008,3814,AA464595,,,,,IMAGE:812955
IMAGE:840404,MGAT2,ENSG00000115486,Hs.93338,4247,AA485780,2,85629718,85642090,-1,IMAGE:840404
IMAGE:356707,RPS6,ENSG00000137154,Hs.408073,6194,W84472,9,19366253,19385742,-1,IMAGE:356707
IMAGE:121365,RBJ,ENSG00000115137,Hs.434993,51277,BX107190,2,25020009,25048435,-1,IMAGE:121365
IMAGE:293128,,, ,, ,,,,,IMAGE:293128
IMAGE:234537,TTC5,ENSG00000136319,Hs.102480,91875,H78433,14,19827130,19843976,-1,IMAGE:234537
IMAGE:267495,,,Hs.478025,0,N25262,chr14,52313190,52313832,-,IMAGE:267495
IMAGE:365778,CRTAP,ENSG00000170275,Hs.517888,10491,AA025858,3,33130483,33164269,1,IMAGE:365778
IMAGE:810242,C3AR1,ENSG00000171860,Hs.591148,719,AA464711,12,8102186,8110222,-1,IMAGE:810242
IMAGE:234131,,,Hs.572336,0,H70608,chr15,32933514,32934385,-,IMAGE:234131
IMAGE:725308,RIN1,ENSG00000174791,Hs.1030,9610,AA291556,11,65856118,65860576,-1,IMAGE:725308
IMAGE:49560,CAPN1,ENSG00000152234,Hs.502842,823,H15515,18,41918108,41938197,-1,IMAGE:49560
IMAGE:51738,,,Hs.633313,0,H24302,,,,,IMAGE:51738
IMAGE:796090,MAN2C1,ENSG00000141429,Hs.26232,4123,BX111851,18,31488599,31545792,1,IMAGE:796090
IMAGE:877621,DAB2IP,ENSG00000136848,Hs.522378,153090,AA488225,9,123368983,123587630,1,IMAGE:877621
IMAGE:346997,IL33,ENSG00000137033,Hs.348390,90865,W79345,9,6231678,6247982,1,IMAGE:346997
IMAGE:261472,C5orf32,ENSG00000120306,Hs.529798,84418,H99035,5,139534837,139603556,1,IMAGE:261472
IMAGE:1056261,,,Hs.190267,0,BX119433,chr2,3983119,3999142,-,IMAGE:1056261
IMAGE:1048602,,,Hs.600550,0,BX116703,chr7,16610911,16611613,-,IMAGE:1048602
IMAGE:126795,CTH,ENSG00000116761,Hs.19904,1491,BX094409,1,70649543,70677840,1,IMAGE:126795
IMAGE:785392,C3orf17,ENSG00000163608,Hs.591288,25871,AA476597,3,114203981,114221245,-1,IMAGE:785392
IMAGE:133150,MAP7D3,ENSG00000129680,Hs.446275,79649,R26444,X,135123047,135161404,-1,IMAGE:133150
IMAGE:769986,NUBP2,ENSG00000095906,Hs.256549,10101,AA427415,16,1770657,1779187,1,IMAGE:769986
IMAGE:856167,TARS,ENSG00000113407,Hs.481860,6897,AA630628,5,33476655,33503953,1,IMAGE:856167
IMAGE:259973,CGB,ENSG00000104827|ENSG00000189052|ENSG00000213030,Hs.172944,1082,N32604,19,54242709,54244212,-1,IMAGE:259973
IMAGE:726768,SH3GL1,ENSG00000141985,Hs.97616,6455,AA398366,19,4311370,4351496,-1,IMAGE:726768
IMAGE:770570,TXNRD2,ENSG00000184470,Hs.443430,10587,AA434261,22,18243040,18309515,-1,IMAGE:770570
IMAGE:283715,LCP2,ENSG00000043462,Hs.304475,3937,N52958,5,169607667,169657400,-1,IMAGE:283715
IMAGE:121415,,,Hs.670574,0,BX114614,,,,,IMAGE:121415
IMAGE:201586,,,Hs.615328,0,BX118624,chr16,77087323,77097966,-,IMAGE:201586
IMAGE:241038,TFPI,ENSG00000003436|ENSG00000166482,Hs.516578,7035,BX115960,17,19227348,19231086,-1,IMAGE:241038
IMAGE:809652,FBLN7,ENSG00000144152,Hs.437696,129804,AA456121,2,112612433,112662262,1,IMAGE:809652
IMAGE:428476,FBXO9,ENSG00000112146,Hs.216653,26268,AA004484,6,53037755,53073630,1,IMAGE:428476
IMAGE:810743,MLF2,ENSG00000089693,Hs.524214,8079,AA480835,12,6727434,6732561,-1,IMAGE:810743
IMAGE:278023,,,Hs.31016,0,N94758,,,,,IMAGE:278023
IMAGE:41406,BAMBI,ENSG00000095739,Hs.533336,25805,R56149,10,29006430,29011874,1,IMAGE:41406
